,cost_for_two,cuisines,locality,rating,rest_name,votes
875,500,"['Andhra', 'Biryani']",Whitefield,3.7,Hyderabadi Handi Biryani                                     ,44
876,900,"['Cafe', 'American', 'Burger']",HSR,4.4,Here & Now                                     ,1834
877,150,['South Indian'],Malleshwaram,4.5,Malleshwaram Dosa Corner                                     ,320
878,300,"['Biryani', 'Chinese', 'Kebab', 'Sandwich', 'Burger']",Ejipura,3.8,Guns N Roses                                     ,48
879,400,['North Indian'],Hebbal,3.3,The Paratha Company                                     ,4
880,500,"['North Indian', 'Kerala']",Whitefield,3.3,Maruti Garden                                     ,4
881,300,"['Beverages', 'Juices']",Old Airport Road,3.7,Smoodies                                     ,26
882,300,"['Andhra', 'Biryani', 'North Indian', 'Beverages']",CV Raman Nagar,3.6,Andhra Express                                     ,63
883,400,['Bakery'],Banashankari,4.1,Floured-Baked With Love                                     ,79
884,200,['Street Food'],BTM,3.8,Puneri Katta                                     ,18
885,400,['Fast Food'],HSR,4,Pasta De Indefused                                     ,34
886,400,['North Indian'],Rajarajeshwari Nagar,3.7,Grand Desi Paratha                                     ,23
887,600,"['North Indian', 'Chinese', 'Biryani', 'Fast Food', 'Desserts']",Koramangala 5th Block,4,TFL's Kitchen                                     ,30
888,450,"['Street Food', 'Fast Food', 'Ice Cream', 'Beverages', 'Burger']",BTM,3.8,Nature Fresh Ice Spice                                     ,43
889,500,"['Chinese', 'North Indian']",Mysore Road,3.9,Ambika A/C Restaurant                                     ,89
890,300,['North Indian'],Koramangala 7th Block,3.9,Oye Dilli                                     ,36
891,200,"['South Indian', 'North Indian', 'Chinese']",Sarjapur Road,3.7,Udupi Kitchen                                     ,29
892,800,"['Cafe', 'Continental', 'Chinese', 'Italian']",Koramangala 6th Block,4.2,Gudguda Prime Cafe                                     ,863
893,300,"['Tibetan', 'Chinese', 'Momos']",Brigade Road,4.1,Taste Of Tibet                                     ,399
894,850,"['Desserts', 'Cafe', 'Pizza', 'Burger']",Sahakara Nagar,4.1,Jus' Trufs                                     ,673
895,200,"['South Indian', 'Chinese', 'North Indian', 'Street Food', 'Fast Food']",BTM,4.2,A2B - Adyar Ananda Bhavan                                     ,171
896,600,"['North Indian', 'Chinese', 'Beverages']",BTM,3.8,New Chawla Chicken                                     ,32
897,350,"['South Indian', 'Chinese', 'North Indian']",Jalahalli,4,Samskruthi Grand                                     ,179
898,600,['Maharashtrian'],Basavanagudi,3.9,Kollapuri's                                     ,260
899,400,['North Indian'],Whitefield,3.5,Punjab Di Rasoi                                     ,24
900,400,['Biryani'],Old Madras Road,4,Anand Dum Biryani                                     ,92
901,"1,500",['Thai'],Indiranagar,4.3,Thai House                                     ,317
902,700,"['Cafe', 'European', 'Continental']",Koramangala 5th Block,4.2,YORK St.                                     ,1171
903,"1,500","['Continental', 'North Indian', 'South Indian', 'Italian']",Kalyan Nagar,4.1,Wanderers                                     ,1054
904,300,['Fast Food'],Malleshwaram,4,Egg Maniac                                     ,76
905,150,['South Indian'],Jayanagar,4.5,Bengaluru Cafe                                     ,248
906,"1,000","['Mediterranean', 'European', 'Continental']",JP Nagar,4.3,WigglyWine                                     ,153
907,700,"['Continental', 'Italian', 'American']",JP Nagar,4,Two Friends Cauldron                                     ,662
908,200,['Street Food'],Kaggadasapura,3.5,Aaa-O-Ji-Kha-O-Ji                                     ,8
909,500,"['North Indian', 'Chinese']",HBR Layout,3.5,FoodStreet.In                                     ,5
910,200,['Lebanese'],HSR,3.3,Mr Shawarma & Miss Grills                                     ,5
911,300,['North Indian'],Electronic City,3.6,Northern Delicacy                                     ,11
912,150,"['Andhra', 'Biryani', 'South Indian']",KR Puram,3.4,Gokul Mess                                     ,12
