,cost_for_two,cuisines,locality,rating,rest_name,votes
334,"1,700","['Finger Food', 'North Indian', 'Chinese', 'Continental', 'American', 'Desserts']","Hotel Southern Star, Lavelle Road",4.3,Tree Tops Bar & Kitchen                                     ,544
335,700,"['Mughlai', 'Biryani', 'Seafood', 'Rolls', 'Desserts']",Koramangala 5th Block,4.3,Sharief Bhai                                     ,2026
336,"2,000","['Japanese', 'Sushi']",Residency Road,4.3,Harima                                     ,755
337,200,"['American', 'Continental']","Varthur Main Road, Whitefield",3.7,Omleterian                                     ,20
338,550,"['North Indian', 'Bengali', 'Chinese']",Kumaraswamy Layout,3.3,Meals And Grills                                     ,4
339,"1,400","['Asian', 'Chinese', 'Continental', 'Italian']",Jayanagar,4.3,Thyme & Whisk                                     ,310
340,800,"['Andhra', 'Biryani', 'North Indian', 'Chinese']",Indiranagar,4.3,Nandhana Palace                                     ,1090
341,450,"['Fast Food', 'Burger']",HSR,4,KFC                                     ,812
342,800,"['Hyderabadi', 'Andhra', 'North Indian', 'Chinese', 'South Indian']","More MegaStore, Marathahalli",4,Hyderabad Chefs                                     ,927
343,"1,600","['Lebanese', 'Turkish', 'European', 'Mediterranean']",HSR,4.1,Bonum Cibum                                     ,1003
344,750,"['Cafe', 'Sandwich', 'Beverages']",Koramangala 4th Block,4.4,Third Wave Coffee Roasters                                     ,1384
345,"1,300","['Continental', 'Mediterranean', 'European']",Church Street,4.2,Hoppipola                                     ,2006
346,"1,100","['North Indian', 'Mediterranean', 'European', 'BBQ']",Marathahalli,4.4,"3B's - Buddies, Bar & Barbecues                                     ",2636
347,350,"['Biryani', 'Kebab']",BTM,3.4,Biryani Kalakaar                                     ,7
348,600,"['Pizza', 'Fast Food', 'Desserts']",Bannerghatta Road,4.2,MOJO Pizza - 2X Toppings                                     ,433
349,300,"['South Indian', 'Biryani']",Rajajinagar,4.3,Hotel Aditya                                     ,561
350,400,"['North Indian', 'Chinese', 'Fast Food', 'Rolls']",BTM,4,Hungry Bird                                     ,107
351,500,"['North Indian', 'Biryani', 'Chinese']",BTM,4,Dwaraka Krishna                                     ,422
352,"1,200","['North Indian', 'Mughlai', 'Biryani', 'Kebab']",Indiranagar,4.3,Copper Chimney                                     ,457
353,"1,300","['Cafe', 'Fast Food']",Indiranagar,4.4,Burger Seigneur                                     ,722
354,"1,900","['American', 'European', 'Continental', 'Burger', 'Desserts']","1 MG Road Mall, MG Road",4.4,Cafe Felix                                     ,931
355,150,['South Indian'],Malleshwaram,4.5,Veena Stores                                     ,2665
356,500,"['Pizza', 'Fast Food']",Jalahalli,3.9,E2P Pizza Burger                                     ,133
357,350,"['North Indian', 'Chinese', 'Fast Food']",Bommanahalli,3.8,New Kabab Zone                                     ,154
358,"1,000","['Mexican', 'Italian', 'Chinese', 'Thai']",Jayanagar,4.2,Once Upon a Rooftop                                     ,1423
359,300,['South Indian'],"Mantri Square, Malleshwaram",4.3,Upsouth                                     ,763
360,"1,800","['Bengali', 'Seafood']",Church Street,4.3,Oh! Calcutta                                     ,1381
361,"2,200","['Spanish', 'Italian', 'Mediterranean', 'European', 'Salad']",UB City,4.5,Caperberry                                     ,1557
362,200,"['Biryani', 'North Indian', 'Chinese', 'Hyderabadi', 'Andhra', 'Wraps']",Bellandur,3.9,Biryani Pot                                     ,100
363,"1,400","['North Indian', 'Continental', 'Chinese']",Kalyan Nagar,4.3,Limitless Bar & Kitchen                                     ,106
364,"1,600","['North Indian', 'Mughlai', 'Biryani']",Infantry Road,4,Samarkand                                     ,2108
365,400,"['North Indian', 'Biryani', 'Chinese', 'Arabian']",BTM,4.1,Ghee Biryani House                                     ,114
366,550,"['Biryani', 'Hyderabadi', 'North Indian', 'Chinese']",Bommanahalli,3.7,Mamatha Restaurant                                     ,212
367,200,['Bakery'],HSR,4.3,Cakewala                                     ,426
368,"1,100","['North Indian', 'Chinese', 'Mughlai', 'Mexican', 'BBQ']",Jayanagar,4.3,Sea Lions BBQ & Grills                                     ,792
369,800,"['Andhra', 'South Indian', 'North Indian', 'Continental', 'Asian']",Marathahalli,4,The Placid Restaurant                                     ,146
370,400,"['North Indian', 'Chinese', 'Biryani']",Rajajinagar,4,Punjabi Nawabi                                     ,299
371,500,"['Biryani', 'North Indian']",BTM,4,Ghee Biryani                                     ,255
372,800,"['North Indian', 'Chinese', 'Mughlai', 'Beverages']",HSR,4.2,Hunger Swipe Restaurant                                     ,188
373,450,"['North Indian', 'Rolls']",Jeevan Bhima Nagar,4.2,Chandni Chowk 2 Bangalore                                     ,539
374,650,"['Andhra', 'North Indian']",Kalyan Nagar,4,Royal Andhra Spice                                     ,59
375,"2,000","['Continental', 'North Indian', 'Cafe']","Courtyard by Marriott Bengaluru, Hebbal",4.1,The Hebbal Cafe - Courtyard By Marriott                                     ,222
376,700,"['Modern Indian', 'South Indian', 'Pizza', 'Burger', 'Rolls']",HSR,4.3,Seven Ate Nine                                     ,931
377,"1,000","['South Indian', 'North Indian', 'Biryani', 'Street Food', 'Fast Food']","Lido Mall, Ulsoor",4.3,The Bangalore Street Club                                     ,172
378,"1,200","['North Indian', 'Biryani']",Bellandur,4.1,Punjabi Times                                     ,1839
379,"1,100","['North Indian', 'Tex-Mex', 'Italian', 'Chinese', 'Continental']",Electronic City,3.9,Casa Piccosa                                     ,91
380,450,"['North Indian', 'Chinese']",New BEL Road,4,Sardarji Londonwaley                                     ,85
381,"1,000","['Seafood', 'South Indian', 'Mangalorean', 'Konkan']",Brigade Road,4.4,Cobaja                                     ,322
382,800,"['North Indian', 'Mughlai', 'Chinese', 'Kerala', 'Biryani', 'Beverages', 'Desserts']",Basaveshwara Nagar,4.3,Le Arabia                                     ,1427
383,750,"['Cafe', 'Continental', 'American']",Church Street,4.2,BLOW                                     ,1231
384,800,"['Continental', 'North Indian', 'Finger Food', 'Bar Food']",JP Nagar,3.9,House Of Draft                                     ,95
385,"1,300","['Cafe', 'German', 'Italian']",Indiranagar,4.3,Cafe Max                                     ,1780
386,400,"['South Indian', 'Chinese', 'North Indian', 'Biryani']",Jayanagar,4.2,ASHOK VATTIKA                                     ,192
387,"1,500","['Steak', 'Italian', 'Continental', 'American', 'Burger', 'BBQ', 'Salad']",MG Road,4.2,Portland Steakhouse & Cafe                                     ,2207
388,400,"['Bakery', 'Desserts']",HSR,3.8,Swirl Jam                                     ,25
389,450,"['North Indian', 'South Indian', 'Chinese', 'Biryani']",Bommanahalli,4.2,Dorothy's Kitchen                                     ,109
390,650,"['Burger', 'Fast Food', 'Continental', 'Wraps', 'Beverages']",Marathahalli,4.1,Leon Grill                                     ,900
391,"1,500","['American', 'Continental', 'Fast Food', 'Steak']",Koramangala 5th Block,4.1,Kobe Sizzlers                                     ,2041
392,350,['Kerala'],Koramangala 1st Block,4.2,14 Districts                                     ,243
393,600,"['North Indian', 'Andhra', 'Chinese']",Bommanahalli,4.2,Navya's                                     ,109
394,"1,000","['Steak', 'Continental', 'Burger', 'BBQ']",HSR,4.4,Once Upon A Flame                                     ,2385
395,450,"['Biryani', 'North Indian', 'Chinese']",Bommanahalli,3.1,Biryani Junction                                     ,462
396,"2,500","['European', 'Continental', 'Chinese', 'Thai']",ITC Gardenia,4.3,Cubbon Pavilion - ITC Gardenia                                     ,735
397,300,['Chinese'],JP Nagar,4,Fangover                                     ,93
398,"1,400","['Chinese', 'Asian', 'Beverages']",Jayanagar,4.1,Patio 805                                     ,542
399,800,"['South Indian', 'Kerala', 'Andhra', 'Biryani', 'Chettinad', 'Konkan', 'Mangalorean']",Church Street,4.2,Carnatic                                     ,556
400,"1,000","['Seafood', 'Chinese', 'North Indian']",Rajarajeshwari Nagar,3.8,The Bistro @ Global Village                                     ,24
401,"1,500","['Finger Food', 'Continental', 'Pizza']",Sarjapur Road,4.3,THE RIG                                     ,2898
402,200,"['South Indian', 'Chinese', 'North Indian']",HSR,4.4,Asha Tiffins                                     ,844
403,"1,100","['Continental', 'Finger Food', 'Asian', 'Chinese']",HSR,4.5,Bar Union                                     ,1446
404,150,"['Beverages', 'Juices', 'Ice Cream']",Bannerghatta Road,4,Empire Juices And Ice Creams                                     ,78
405,800,"['Cafe', 'Continental', 'Desserts']",Koramangala 5th Block,4.1,Roundup Cafe                                     ,1356
406,"2,500","['Asian', 'Japanese', 'Thai']",Infantry Road,4.2,1Q1                                     ,752
407,"1,200",['North Indian'],Sadashiv Nagar,4.4,Barbecued - By The Orchard                                     ,949
408,"1,400","['North Indian', 'Chinese', 'Continental', 'Andhra']",Indiranagar,3.8,Macs Brew House                                     ,40
409,"1,400","['Chinese', 'Continental', 'North Indian', 'Finger Food']",HSR,4.4,Vanilla Sky                                     ,2364
410,800,"['Arabian', 'North Indian', 'Mughlai', 'Chinese', 'Beverages', 'Desserts']",JP Nagar,4.2,Le Arabia                                     ,555
411,"1,200","['North Indian', 'Continental', 'Asian', 'Pizza']",Brookefield,4.2,Brook's 37 Kitchen & Bar                                     ,776
412,300,"['North Indian', 'Fast Food']",BTM,4.2,Roti Wala                                     ,316
413,"2,500","['Italian', 'North Indian', 'Lebanese']","The Taj West End, Race Course Road",4.2,Mynt - The Taj West End                                     ,377
414,700,"['North Indian', 'Chinese', 'Biryani', 'Kerala', 'Ice Cream', 'Beverages']",Kalyan Nagar,4.1,Bamboo Restaurant                                     ,266
415,500,"['Fast Food', 'Italian', 'Continental']",HBR Layout,3.9,The Elephant Bowl Restro Cafe                                     ,70
416,"1,200","['Finger Food', 'North Indian', 'Chinese', 'Mughlai', 'Fast Food']",Rajarajeshwari Nagar,4.4,High Drate                                     ,134
417,500,"['Bakery', 'Desserts']","Ascendas Park Square, Whitefield",4.2,Cakesta                                     ,500
418,"1,400","['Japanese', 'Korean', 'Thai', 'Asian', 'Sushi', 'Desserts']",Indiranagar,4.5,Taiki                                     ,731
419,800,"['Cafe', 'Continental', 'Beverages']",Kammanahalli,4.2,Giselle Resto Cafe                                     ,1150
420,"3,000","['North Indian', 'Asian', 'South Indian', 'Italian', 'European']","Hilton Bangalore Embassy GolfLinks, Domlur",4.2,Ministry of Food - Hilton Bangalore Embassy GolfLinks                                     ,548
421,600,"['North Indian', 'Chinese', 'Italian', 'Street Food', 'Desserts']",Koramangala 6th Block,4.2,Eat Street                                     ,1744
422,300,"['Fast Food', 'Sandwich']",BTM,4.2,Easy Bites                                     ,408
423,300,"['Chinese', 'Momos', 'Bengali']",Bommanahalli,3.5,The Taste Of East                                     ,12
424,"1,000","['BBQ', 'Arabian', 'Chinese', 'North Indian', 'Desserts']",JP Nagar,4.1,Zaitoon                                     ,1671
425,250,"['Momos', 'Chinese']",Whitefield,4.2,Mast Momos                                     ,502
426,900,"['North Indian', 'Continental']",Rajajinagar,3.9,Jalpaan                                     ,715
427,250,"['South Indian', 'North Indian', 'Chinese']",Malleshwaram,4,Halli Mane                                     ,1292
428,"1,000",['Bengali'],Indiranagar,4.3,Esplanade                                     ,1829
429,"1,300","['Chinese', 'Momos']","Hotel Southern Star, Lavelle Road",4.2,The Rice Bowl                                     ,677
430,"1,500","['Finger Food', 'North Indian', 'Chinese', 'Desserts']",JP Nagar,4.4,Daruwala                                     ,73
431,"2,000","['Indonesian', 'Italian', 'Mediterranean', 'Asian']","Novotel Bengaluru, Marathahalli",4.2,Blue Terrain - Novotel                                     ,610
432,"1,750","['North Indian', 'Continental', 'Finger Food', 'American', 'Asian']",Jayanagar,4.2,Brew Meister                                     ,1402
433,250,"['Desserts', 'Ice Cream']",Koramangala 5th Block,4.6,Gudbud                                     ,150
434,"1,600","['Italian', 'Desserts']",Indiranagar,4.5,Bologna                                     ,1207
435,"1,500","['Italian', 'Mexican', 'Pizza']",Residency Road,4.3,Quattro Ristorante                                     ,105
436,300,"['North Indian', 'Fast Food']",Marathahalli,4.1,Foodism                                     ,626
437,300,['North Indian'],BTM,3.9,Bathinda Tandoor                                     ,396
438,"1,800",['North Indian'],Windmills Craftworks,4.1,The Terrace at Windmills Craftworks                                     ,532
439,"2,800","['Thai', 'Japanese', 'Chinese']","Radisson Blu, Marathahalli",4.5,Shao - Radisson Blu                                     ,446
440,350,"['North Indian', 'Chinese']",Electronic City,3.8,Chefer Plate                                     ,47
441,600,"['Modern Indian', 'North Indian']",HSR,4.4,Dilli to Dakshin                                     ,676
442,200,"['Kerala', 'Chinese', 'South Indian']",BTM,4,Kannur Food Point                                     ,404
443,700,"['Cafe', 'Healthy Food', 'Salad', 'Beverages']",Indiranagar,4.2,Yogi-sthaan                                     ,1314
444,"1,200","['Continental', 'Italian', 'North Indian']",New BEL Road,4.1,Halfway House Restobar                                     ,170
445,"1,800","['Chinese', 'Cantonese']",Lavelle Road,4.2,CANTAN - Chinese Bar House                                     ,217
446,"1,500","['Italian', 'Continental', 'Pizza', 'Desserts', 'Sandwich']",Sahakara Nagar,4.3,Avista Wine Bar & Pizzeria                                     ,125
447,200,"['Mithai', 'Street Food']",MG Road,3.9,KC Das                                     ,406
448,500,"['North Indian', 'Chinese']",HSR,4.1,Gharwaala Tiffin                                     ,25
449,200,"['Street Food', 'Fast Food']","Eat Street, Koramangala 6th Block",4.1,Chaat Street                                     ,426
450,300,"['Lebanese', 'Kebab']",St. Marks Road,3.8,Tarbouche                                     ,58
451,400,"['Biryani', 'South Indian', 'North Indian', 'Chinese', 'Desserts', 'Beverages']","Varthur Main Road, Whitefield",3.9,Kitchens@Whitefield                                     ,457
452,300,"['Fast Food', 'Biryani', 'Beverages']",Whitefield,3.9,K R Catering Services                                     ,58
453,300,['South Indian'],Kalyan Nagar,4.2,The Filter Coffee                                     ,831
454,"2,000","['Japanese', 'Chinese']",Sadashiv Nagar,3.9,Pebble                                     ,531
455,800,"['Continental', 'American', 'Pizza', 'Burger', 'Cafe', 'Sandwich']",Koramangala 7th Block,4.5,Grill Daddy                                     ,177
456,"2,200","['Asian', 'Continental', 'North Indian']","Radisson Blu, Marathahalli",4.4,Marquis - Radisson Blu                                     ,139
457,"1,000","['North Indian', 'Chinese', 'Italian', 'Continental', 'South Indian']",HSR,4,The Buffet Table                                     ,203
458,"1,200","['Bar Food', 'North Indian', 'Italian']",Sarjapur Road,4.2,Tapout Tavern                                     ,615
459,"2,200","['Bar Food', 'Asian', 'European', 'Mediterranean']",Kalyan Nagar,4.3,Float Brewery                                     ,914
460,"1,200","['Italian', 'North Indian', 'Desserts']",Whitefield,4,Herbs & Spices                                     ,1241
461,"1,800","['Modern Indian', 'North Indian']",Sadashiv Nagar,4.2,Akss - India Reimagined                                     ,426
462,"1,500","['North Indian', 'Italian', 'Asian', 'Mughlai', 'Bakery']","Svenska Design Hotel, Electronic City",4.4,Sky Lounge Bar - Svenska Design Hotel                                     ,923
463,"1,000","['Mangalorean', 'Seafood', 'Chinese', 'North Indian', 'Konkan']",Brigade Road,4.5,Hotel Tom's Restaurant                                     ,845
464,"1,200","['North Indian', 'Mughlai', 'Beverages']",Hebbal,4,Potteery Nine Cafe                                     ,134
465,500,"['North Indian', 'Chinese']",Koramangala 4th Block,3.4,Food Theory                                     ,9
466,450,"['Fast Food', 'Chinese']",Indiranagar,3.8,Fresh Bites                                     ,28
467,"1,450","['Finger Food', 'Modern Indian', 'Beverages']",Church Street,4,Unwind @ Coast To Coast                                     ,40
468,400,"['South Indian', 'Chinese', 'Fast Food', 'Seafood']",Ejipura,4.1,Bae Of Bengaluru                                     ,90
469,"1,100","['Cafe', 'Italian', 'Continental', 'Pizza', 'Salad']",Rajarajeshwari Nagar,4.3,Bistro Bois                                     ,299
470,700,"['Cafe', 'Pizza']",Jayanagar,4.1,Esperance                                     ,276
471,300,"['Bakery', 'Desserts']",Whitefield,4.2,Kreme Delight                                     ,321
472,350,"['Biryani', 'Andhra']",Sahakara Nagar,3.8,Meghana Biryani House                                     ,66
473,850,"['Andhra', 'North Indian', 'Chinese']",Rajajinagar,4.2,Mayura 1989                                     ,719
474,400,['Biryani'],Whitefield,4.1,Biryani Plate                                     ,500
475,200,"['Chinese', 'Sandwich', 'Fast Food', 'Rolls', 'Lebanese', 'Beverages', 'Juices']",Bommanahalli,3.9,Sandwich Souk                                     ,41
476,550,"['North Indian', 'Fast Food', 'Chinese', 'Street Food']",Rajarajeshwari Nagar,3.8,RR Vatika                                     ,81
477,300,['South Indian'],HSR,3.9,Colombo Idli House                                     ,68
478,700,"['Chettinad', 'Biryani', 'Chinese', 'North Indian']",Bannerghatta Road,3.7,Mirpuha Family Restaurant                                     ,20
479,"1,100","['Italian', 'Pizza', 'American', 'Sandwich']",Kalyan Nagar,4.3,Rusty's                                     ,323
480,600,['Cafe'],Church Street,4.3,Matteo Coffea                                     ,2811
481,100,['South Indian'],Basavanagudi,4.4,Puliyogare Point                                     ,720
482,800,"['Andhra', 'Biryani', 'North Indian', 'Chinese']",Bannerghatta Road,3.9,Kundana                                     ,432
483,"1,500","['Cafe', 'American', 'Asian', 'North Indian']",Koramangala 3rd Block,4.4,Foxtrot - House of Subculture                                     ,532
484,"1,800","['Goan', 'Asian', 'North Indian', 'European', 'Continental']","OPUS, Sarjapur Road",4.4,Opus Food Stories                                     ,499
485,900,['North Indian'],Marathahalli,4.2,Punjabi Twist                                     ,643
486,400,"['South Indian', 'North Indian', 'Street Food']",Lavelle Road,4,Airlines Hotel                                     ,982
487,"2,300",['Finger Food'],Sterlings Mac Hotel,4,CloudNYN - Sterling Mac Hotel                                     ,520
488,900,"['Continental', 'Andhra', 'North Indian', 'Chinese', 'Desserts', 'Beverages']",Marathahalli,4.2,The Pearl Gourmet Food                                     ,556
489,700,"['Cafe', 'Healthy Food', 'Salad']",Indiranagar,4.4,Flax                                     ,153
490,900,"['Cafe', 'Desserts']",Indiranagar,4.5,Amande Patisserie                                     ,91
491,"1,500",['Italian'],Race Course Road,4.6,Pepe Verde's - Italian Cafe and Ristorante                                     ,131
492,"1,400","['Finger Food', 'Continental', 'Italian', 'Salad']",Kalyan Nagar,4.2,The Local                                     ,1364
493,700,"['Andhra', 'South Indian', 'Biryani']",Ulsoor,4.4,Sampurna                                     ,136
494,700,"['Modern Indian', 'North Indian']",Jayanagar,4,Fusion Theory                                     ,722
495,500,['Pizza'],Whitefield,3.4,Gusto's Pizza                                     ,16
496,"1,100","['Andhra', 'Biryani', 'Chinese', 'North Indian', 'Seafood', 'South Indian']",Cunningham Road,4,Eden Park                                     ,765
497,800,"['North Indian', 'Chinese']",Marathahalli,4.1,AJ-125                                     ,69
498,"2,500","['Continental', 'North Indian', 'Japanese', 'Italian']","Novotel Bengaluru, Marathahalli",4.2,The Square - Novotel                                     ,868
499,350,"['South Indian', 'Kerala', 'Biryani']",Thippasandra,4.2,Motis Kitchen                                     ,728
500,"1,200","['Bar Food', 'South Indian', 'North Indian', 'Continental']",Nagarbhavi,3.8,Sherlock's Lounge And Kitchen                                     ,81
501,150,['South Indian'],Malleshwaram,4,Iyer Mess                                     ,398
502,200,"['Street Food', 'North Indian', 'Maharashtrian', 'Beverages']",New BEL Road,3.7,Delitan                                     ,32
503,200,['North Indian'],Marathahalli,4.1,Chulha Chauki                                     ,183
504,300,"['Desserts', 'Beverages']",Electronic City,4.3,Ice Corner                                     ,451
505,300,"['Fast Food', 'Sandwich']",Jayanagar,4,Sandwich Hub                                     ,71
506,"1,800","['Asian', 'Japanese']","Phoenix Market City Mall, Whitefield",4.3,Shizusan                                     ,1672
507,500,"['Fast Food', 'Chinese', 'Steak', 'Desserts', 'Beverages']",Vijay Nagar,4.6,Mint Magic                                     ,125
508,"1,600","['Continental', 'Italian', 'Beverages']",BTM,4.5,Fogg Lounge                                     ,471
509,"2,000","['Japanese', 'Asian']","Forum Shantiniketan Mall, Whitefield",4.4,You Mee                                     ,603
510,"3,000",['North Indian'],"Shangri-La Hotel, Vasanth Nagar ",4.4,Ssaffron - Shangri-La Hotel                                     ,814
511,650,"['South Indian', 'North Indian', 'Chinese', 'Fast Food']",Banaswadi,3.7,New Shanthi Sagar                                     ,106
512,400,"['Fast Food', 'Chinese', 'North Indian', 'Biryani']",BTM,4.1,Dheekshi Snackies                                     ,133
513,650,"['American', 'Fast Food', 'Mexican', 'Wraps']",Koramangala 6th Block,4.1,Taco Bell                                     ,2028
514,200,"['Beverages', 'Street Food']",Jayanagar,3.6,Shake It Up                                     ,19
515,"2,000","['Asian', 'North Indian', 'South Indian']",Courtyard & Fairfield by Marriott,4.2,MoMo Cafe - Courtyard by Marriott                                     ,518
516,900,"['Andhra', 'Biryani', 'North Indian']",Indiranagar,4.1,Aaha Andhra                                     ,929
517,300,['North Indian'],Hennur,3.9,Missing Spoon                                     ,26
518,400,"['Biryani', 'North Indian', 'Awadhi', 'Mughlai']",HSR,4.3,Aligarh House                                     ,902
519,600,"['Bakery', 'Desserts']",Indiranagar,4.4,Amintiri                                     ,152
520,600,"['North Indian', 'Chinese']",Sarjapur Road,4.1,Birbal Darbar                                     ,381
521,450,['Biryani'],"Inorbit Mall, Whitefield",4.2,Biryani Kitchen                                     ,735
522,"1,200","['Continental', 'North Indian', 'Pizza', 'Italian']",Bannerghatta Road,4.4,Chavadi                                     ,2474
523,"1,000","['North Indian', 'Chinese', 'Fast Food']",Residency Road,4,Chin Lung Resto Bar                                     ,661
524,500,"['Cafe', 'Desserts', 'Fast Food']",Koramangala 5th Block,4.4,Kurtoskalacs                                     ,645
525,"3,500","['European', 'Italian', 'Pizza', 'North Indian', 'Salad']","Four Seasons Hotel, RT Nagar",4.3,CUR8 - Four Seasons Hotel                                     ,150
526,"1,200","['Italian', 'Mexican', 'Continental', 'Asian']",Rajarajeshwari Nagar,4.3,Ambrosia                                     ,822
527,300,"['North Indian', 'Biryani']",JP Nagar,3.7,Ruchi's Donne Biryani                                     ,24
528,800,"['Cafe', 'Italian', 'Desserts', 'Bakery']",Indiranagar,4.4,Nuage                                     ,303
529,200,['North Indian'],Bannerghatta Road,3.6,Gharelu Zaika                                     ,24
530,900,"['North Indian', 'Mughlai', 'Chinese', 'Fast Food', 'Continental']",New BEL Road,4,Tower Resto Bar                                     ,89
531,300,"['North Indian', 'Chinese', 'Biryani']",Ulsoor,3.6,Food Manthra                                     ,69
532,400,"['Pizza', 'Fast Food']",Indiranagar,2.9,Domino's Pizza                                     ,545
533,400,"['North Indian', 'Chinese', 'Fast Food', 'Beverages']",Koramangala 8th Block,4,Ghee Positive                                     ,145
534,500,"['Cafe', 'Fast Food']",Vasanth Nagar,3.8,India Chai Lounge                                     ,30
535,300,"['Wraps', 'Rolls']",Indiranagar,3.7,Kaati Zone Rolls And Wraps                                     ,25
536,200,"['South Indian', 'Street Food']","Krishna Kuteer, HSR",3.9,99 Variety Dosa & Pav Bhaji                                     ,223
537,300,['Bakery'],Bommanahalli,3.8,Lulu Bakery & Sweets                                     ,32
538,650,"['Biryani', 'Kebab', 'Rolls', 'Mughlai']",Domlur,3.9,Potful                                     ,1287
539,"1,500","['German', 'Continental', 'North Indian', 'Desserts', 'Chinese']",Indiranagar,4,BumbleBee Brauhaus                                     ,184
540,"1,000","['Continental', 'North Indian', 'Italian', 'Beverages']",Bellandur,4.2,Maaia                                     ,1155
541,800,"['Biryani', 'Mughlai', 'Andhra']",Kalyan Nagar,4.3,Zamindar                                     ,546
542,"1,700","['Finger Food', 'Continental', 'Beverages']",Marathahalli,4.1,Comet Rooftop Resto Bar                                     ,70
543,"1,400","['Chinese', 'Thai', 'Asian', 'Malaysian', 'Vietnamese', 'Burmese']",Koramangala 5th Block,4.2,Tim Tai                                     ,3808
544,"1,200",['Mexican'],Indiranagar,4.4,Chinita Real Mexican Food                                     ,2806
545,"1,000","['Italian', 'French', 'British', 'Finger Food', 'Beverages']",Indiranagar,4.3,Britalian                                     ,139
546,150,['North Indian'],Bellandur,3.2,HungerCart Breakfast And Snacks                                     ,4
547,300,['Biryani'],BTM,4.1,Donne Biryani Mandi                                     ,111
548,"4,000","['North Indian', 'South Indian']","The Leela Palace, Old Airport Road",4.2,Jamavar - The Leela Palace                                     ,572
549,400,"['Fast Food', 'North Indian']",BTM,4,KKR Foodies                                     ,261
550,700,"['Pizza', 'Fast Food', 'Beverages']",Kalyan Nagar,4.3,Pizzeria Locale                                     ,170
551,600,"['Italian', 'Salad', 'Desserts', 'Healthy Food', 'Continental']",Sarjapur Road,4.4,The Nosh House                                     ,307
552,400,"['Ice Cream', 'Desserts']",Rajarajeshwari Nagar,4.1,Apsara Ice Creams                                     ,61
553,100,"['Beverages', 'Juices']",Malleshwaram,4.1,Eat Raja                                     ,30
554,400,"['Ice Cream', 'Desserts']",Rajarajeshwari Nagar,4.1,Apsara Ice Creams                                     ,61
555,100,"['Beverages', 'Juices']",Malleshwaram,4.1,Eat Raja                                     ,30
556,"2,000","['Mangalorean', 'South Indian']",Ulsoor,4.2,Tasting Room - Bengaluru Oota Company                                     ,94
557,"1,000","['North Indian', 'Continental', 'Chettinad', 'Andhra', 'Bengali']","D and N Enterprises, Marathahalli",4.2,Barbecoa                                     ,1788
558,250,"['North Indian', 'Chinese']",Sarjapur Road,3.9,NoCo Kitchen                                     ,55
559,800,"['Andhra', 'Biryani', 'North Indian', 'Chinese']","ITPL Main Road, Whitefield",3.9,Guntoor Mirchi                                     ,135
560,500,"['North Indian', 'Street Food', 'Chinese', 'Fast Food', 'Beverages']",BTM,4,Punjabi Swag                                     ,1153
561,"3,400","['North Indian', 'European', 'Thai']",The Ritz-Carlton,4.3,The Market - The Ritz-Carlton                                     ,672
562,200,"['South Indian', 'Chinese']",Basavanagudi,3.3,Hotel Chettinad Kitchen                                     ,4
563,350,"['Biryani', 'North Indian']",HSR,3.5,The Biryani Life                                     ,18
564,550,"['North Indian', 'Maharashtrian']",Bellandur,3.9,Eden Huts Restaurant                                     ,291
565,500,"['Tea', 'Beverages', 'Fast Food', 'Street Food', 'Desserts']",Whitefield,4,Chaayos - Meri Wali Chai                                     ,67
566,600,"['Chinese', 'Continental', 'North Indian', 'Mughlai', 'Steak']",Cunningham Road,4.3,Shezan                                     ,568
567,300,['North Indian'],HSR,4.1,Big Paratha House                                     ,27
568,250,"['North Indian', 'Street Food']",Kalyan Nagar,4.3,Agarwal Food Delight                                     ,91
569,300,"['Street Food', 'North Indian', 'Chinese', 'Beverages']",HSR,4.2,Shree Muthahalli Veg                                     ,997
570,300,"['North Indian', 'Fast Food', 'Kebab', 'Rolls', 'Beverages']",BTM,4,Ammus Restaurant                                     ,182
571,400,['North Indian'],Kalyan Nagar,3.9,Parathas By Chaat Street                                     ,57
572,300,"['Bakery', 'Desserts']",HBR Layout,4.2,Creamyum                                     ,172
573,400,['Biryani'],Indiranagar,4.2,Biryani Trip                                     ,192
574,800,"['BBQ', 'Arabian', 'Continental', 'North Indian', 'Middle Eastern', 'Chinese']",HSR,4.1,Kebarbiq Restaurant                                     ,242
575,350,"['North Indian', 'Chinese', 'South Indian']",Ulsoor,3.6,Shahi Family Restaurant                                     ,238
576,700,['North Indian'],Indiranagar,4.1,Baba Da Dhaba                                     ,573
577,700,"['Andhra', 'Seafood', 'North Indian', 'Chinese']",Jayanagar,3.7,Central Jail Restaurant                                     ,473
578,250,"['Sandwich', 'Fast Food', 'Beverages']",HSR,4.1,Sandwich Guru                                     ,46
579,650,"['Mangalorean', 'Seafood', 'Chinese']",Koramangala 7th Block,4,Gruha Bojan                                     ,77
580,800,"['Biryani', 'Hyderabadi', 'Chinese']",Malleshwaram,4.1,Hyderabad Biryani House                                     ,382
581,"1,500","['North Indian', 'Continental', 'Italian', 'Fast Food']",HSR,4.3,Cirkus                                     ,1043
582,600,"['North Indian', 'Healthy Food', 'Lucknowi', 'Awadhi', 'Biryani']",Koramangala 7th Block,4.3,MockChop                                     ,125
583,600,"['Chinese', 'Continental', 'American', 'Italian']",Bellandur,4.3,Delitz                                     ,291
584,500,['Desserts'],Frazer Town,3.9,Kunafa World                                     ,73
